,content,id,lat,location,lon,time,user,user_id
0,@donlucente Have a school calendar which starts at the beginning of a week and ends at the end of a week. Announce… https://t.co/btbXdl2uMD,971919821322428416,,Boston,,2018-03-09 01:25:17,MichaelJMaguire,215788490
1,I hate this snow I need to move to Cali,971919570394058752,,Boston,,2018-03-09 01:24:17,ValidProof,3252416086
100,@VerizonSupport snow storm in MA took my cable line down. No luck using phone support to schedule a service. Can you help?,971901171010023424,,Boston,,2018-03-09 00:11:10,jscarrasco,5661832
1000,"I mean c'mon man, all you've gotta do is stop short and all the snow goes flying off, problem solved https://t.co/rfioobzK6o",971802990540656640,,Boston,,2018-03-08 17:41:02,chue_on_this,2743875223
1003,@Harvard Snow Day at Harvard #Harvard https://t.co/uMoRpylDRo,971802867601420288,,Cambridge,,2018-03-08 17:40:33,BimalPhoto,44106274
1004,"RT @WCVB: Images: Heavy snow downs trees, causes commuter nightmares https://t.co/0Zx6yIGvPN https://t.co/oaY4ff7xH8",971802773737148416,,Somerville,,2018-03-08 17:40:11,HaroldSipe,15845655
1007,"Why Is it that EVERY storm, people on chestnut street and surrounding areas ALWAYS lose power?  Wind storm, no powe… https://t.co/RupaRihWUm",971802534452097024,,Boston,,2018-03-08 17:39:14,FPS_illicit,2485056755
1008,"@Issuesnhl10 @NHLBruins That's the day we got 18"" of snow - the Panthers probably couldn't fly in.",971802438729719808,,Boston,,2018-03-08 17:38:51,agiraffes,3012388025
101,@CharlottedWitte Boston is ready for tomorrow! Unfortunately there is two feet of snow here... so it’s no San Diego! Can’t wait!,971900713805729792,,Boston,,2018-03-09 00:09:21,BuglerMusic,814091300677021696
1010,"Best part of a snow day is listening to Jeff Kuhner on #WRKO radio. When you see a plow, it's like spotting a UFO, quick get the camera!! 😱",971802395419299840,,Boston,,2018-03-08 17:38:40,BarbieWoodside,1837143518
1011,adult snow day for my birthday.. 🙌🏼 https://t.co/eBgxoGulGu,971802364930920448,,Boston,,2018-03-08 17:38:33,justkristennn,24334651
1013,"How much did you get in your yard?
 https://t.co/axLVTPsDXB https://t.co/cKZEcQpvSC",971802160886439936,,Boston,,2018-03-08 17:37:45,wbz,16334139
1019,"Treating myself to some diginn after digging out of this snow ❄️😊
#diginn #partner @ Dig Inn https://t.co/zz9FMidtQ0",971801597390057472,,Boston,,2018-03-08 17:35:30,BOSbrunchguide,970343224127709184
102,I always make chili on snow days,971900654577963008,,Boston,,2018-03-09 00:09:07,Humble_Asshole,435606170
1021,While in Boston... #no filters #snow #likeCangasdelNarcea en Harvard University https://t.co/xkm858OvKl,971801528431411200,-71.116944,Boston,42.374444,2018-03-08 17:35:14,pablomartirod,251629147
1026,Come brave the snow with us at @Wachusett tonight for #AirAndApres! https://t.co/lzl5A9GElh,971801245085241344,,Boston,,2018-03-08 17:34:06,SamuelAdamsBeer,440959097
1027,"RT @bostonherald: Bus stuck in snow is no obstacle for Northeastern women’s basketball team

https://t.co/NSWLAJKMJm https://t.co/C7V1ia42VW",971801228857536512,,Boston,,2018-03-08 17:34:02,JimmyDavidsonMA,2581669201
1029,"We are New Englanders - a little snow doesn't stop us!  
Art on Tap/Small Works is still on for tonight!  Hope to... https://t.co/GDkaksmsNY",971800856877248512,,Boston,,2018-03-08 17:32:34,JPArtsCouncil,181344286
103,Snow day here today and tomorrow. “) These two made some awesome parent snowfolk. I’m on the… https://t.co/Owj8dNxZJm,971900457483255808,,Boston,,2018-03-09 00:08:20,audaciouslife,2955078135
1031,"Here's how the latest nor'easter, which dumped more than 2 feet of snow in parts of the state, is impacting Massach… https://t.co/MNY8SLAU1N",971800715919323136,,Boston,,2018-03-08 17:32:00,BostonMagazine,14420767
1032,"Radcliffe on a snowy day
•
•
•
•
•
•
•
•
•
#photography #radcliffe #RIAS #harvard #snow #winter… https://t.co/29pjpRCqZ5",971800558892920832,-71.12288,USA,42.37672,2018-03-08 17:31:23,HighKingCam,23533765
1034,"@NWSBoston @WX1BOX Reporting 10” of wet, heavy snow in Milford, MA as of 7:00 AM. #16-024",971800341820911616,,Boston,,2018-03-08 17:30:31,_silvafelipe,269631416
1037,Half past noon on a snow-laden subway platform. https://t.co/w5l5CGKLjn,971800291132649472,,Boston,,2018-03-08 17:30:19,ChrisAguirre180,501277923
1038,RT @CO201: Go Husky women! RT @globemetro: The Northeastern women’s basketball team bus got stuck in the snow. So t… https://t.co/g5MSwbC0P1,971800278763786240,,Cambridge,,2018-03-08 17:30:16,tinkerrr,15271305
1039,"Images: Heavy snow downs trees, causes commuter nightmares https://t.co/0Zx6yIGvPN https://t.co/oaY4ff7xH8",971800277782351872,,Boston,,2018-03-08 17:30:16,WCVB,21419504
104,Snow day tomorrow. What’s good?,971900240453427200,,Boston,,2018-03-09 00:07:29,LibrarianLizz,17740838
1040,A lot of tree damage in Westborough with most of the town in the dark. Need to be very careful especially with kids… https://t.co/N7h3abngh9,971800242516647936,,Boston,,2018-03-08 17:30:07,Hayds1221,755861322
1041,Snow jangles #longfurproblems #akita #bella #cuzins #bosnow #dogsofnewengland #dogslife https://t.co/bADh2BLmpY,971800213081018368,,Boston,,2018-03-08 17:30:00,tulamonstah,15720719
1044,"On Today’s Snow Day agenda 
.
Binge watch Hulu 🙆‍♀️
Snuggle with my fur-baby while his anesthesia wears off 🐶💙
Writ… https://t.co/gerxGYC9wL",971800149847629824,,Boston,,2018-03-08 17:29:45,c_castagna1,281771764
1045,Sitting in the snow in MA dreaming of one of these. Someday. https://t.co/OvdF6aChyI,971800131564646400,,Boston,,2018-03-08 17:29:41,douggould1,59114223
1046,Snow jangles #longfurproblems #akita #bella #cuzins #bosnow #dogsofnewengland #dogslife https://t.co/ZImd5fFH76,971800114812608512,,Boston,,2018-03-08 17:29:37,tulamonstah,15720719
105,We just got here! Gonna be a Wicked Fun Night @NHLBruins @tdgarden. no little snow ❄️ could keep us from coming to the game tonight,971899708816769024,,Boston,,2018-03-09 00:05:22,mlsports12,19923842
1052,"The Snow Emergency Parking Ban has now been lifted.
As you shovel or snow blow please remember it is against... https://t.co/EAx2iMtrvg",971799739007160320,,Other Mass.,,2018-03-08 17:28:07,cityofeverettma,63168889
1059,"We're ready to ditch the snow for some sun! Here's a little preview of what to expect from #MGH at #ACC18.  
ACC.18… https://t.co/Qxwyhi4nIc",971799422018433024,,Boston,,2018-03-08 17:26:52,MGHHeartHealth,2344101714
