,content,id,lat,location,lon,time,user,user_id
0,"I cannot state enough how much I love all of my followers. Just a few short weeks ago, there were less than 100 of… https://t.co/yFxIR5UFcS",971539446834323456,,Boston,,2018-03-08 00:13:49,HonestlyCrypto,949384296271368192
1,@annab908 Um that was not me,971539445483802624,,Boston,,2018-03-08 00:13:48,KyKupCake,135580460
10,"@theweatherKat @425suzanne It’s not always easy to embrace this, but these are the people we must try to connect wi… https://t.co/kpUCyIswTR",971539429784420352,,Boston,,2018-03-08 00:13:45,EJFTweets,272782657
100,Drafting a late-aughts-style indie screenplay about my early years on Twitter. Working title: Thankyouiamverythirsty.,971539334611521536,,Boston,,2018-03-08 00:13:22,aPlayOnBirds,783756754316251136
1000,@RapSheet  https://t.co/M8yFHqI77c,971538327546531840,,Boston,,2018-03-08 00:09:22,The300sBoston,724790045924806656
1001,@ldelafano 😂 https://t.co/xTc6JugBgR,971538326745505792,,Boston,,2018-03-08 00:09:22,jagga23,347488550
1002,@caulkthewagon @UMassBoston @BostonSchools Go to the UMass profile. Reading comprehension helps.,971538325432602624,,Boston,,2018-03-08 00:09:21,JoAnnDwyer5,4819292505
1003,"I recall @realDonaldTrump liked and retweeted these folks, didn't he? https://t.co/xnFgWnNxxE",971538325197684736,,Cambridge,,2018-03-08 00:09:21,BalelBauer,3078562100
1005,RT @NoraPrinciotti: In literally any context this is my ideal relationship. https://t.co/2OnLfb39fg,971538324052692992,,Other,,2018-03-08 00:09:21,pistol_pz24,1043465976
1006,RT @phd_fashionista: So excited! Check out my “what to wear to a conference” guide over at @ASBMB today! Let me know your thoughts 😊 #confe…,971538323729735680,,USA,,2018-03-08 00:09:21,ASBMB,16240525
1007,I miss @Kerri7News on @NBC10.,971538323708809216,,Boston,,2018-03-08 00:09:21,geffe71,19802381
1008,"RT @ODonnellMollyK: Rahn Dorsey calls for risk capital in ed, culture of innovation, schools as learning orgs, unifying measures for progre…",971538322622427136,,Boston,,2018-03-08 00:09:21,newprofit,23592643
101,“Time to re up on some pack n some new bitches 😂sike I’m stealing both”,971539334368083968,,Boston,,2018-03-08 00:13:22,wecallemquinez,418351157
1010,@Louis_Tomlinson South Shore Support Services  (781) 331-7878,971538322349871104,,Boston,,2018-03-08 00:09:21,AriellaRicci215,857456323679662080
1012,yo  i think i got like 2 cavities,971538320126894080,,Boston,,2018-03-08 00:09:20,wroseworse,2794077662
1013,"RT @iwearaonesie: son: This wouldn't have happened if I had a dragon
wife: What does that have to do with-
me: Hang on. Let's see where he'…",971538319996731392,,Other,,2018-03-08 00:09:20,noctaluka,290283876
1015,This Monday the Happenings at Pivotal #Boston is hosting Collaborative Coding Night. More info: https://t.co/IDDfzoOJnt,971538318444949504,,Boston,,2018-03-08 00:09:20,BOS_TechEvents,710329346234318848
1016,"My latest blog post: An Opera Diva and a Broadway Star Trade Places, and Advice by MICHAEL COOPER https://t.co/k65hanmm6b",971538313772519424,,Boston,,2018-03-08 00:09:18,torymarshman,2214458839
1017,"Playing a little cod, then some Fortnite and hopefully Gamebattles matches tonight. Slide on in https://t.co/XW341T8BzX",971538306998599680,,Boston,,2018-03-08 00:09:17,jCaptainMorgan3,3336010864
1018,RT @harvardmed: Targeting the nervous system could lead to nonantibiotic therapies for bacterial pneumonia https://t.co/kabLVeN0uS,971538306545733632,,Other,,2018-03-08 00:09:17,S_Ordibehesht,150934795
102,RT @this_is_not_ok_: #Teacherlyfe #NeverAgain #ICallBS #MomsDemand shared with permission. Please reshare https://t.co/sWSfyEue4G,971539334225637376,,USA,,2018-03-08 00:13:22,Mitla96,49848938
1021,BPD (D-4): Large fight involving 15-20 people- 577 Massachusetts Av.,971538304859598848,,Boston,,2018-03-08 00:09:16,alertpageboston,937338027747180544
1022,"Quick quiz:

Which of the following entertainers were allowed to profit off their name, image &amp; likeness while in c… https://t.co/4sSWAqT0xc",971538304171732992,,Boston,,2018-03-08 00:09:16,WarrenKZola,365445055
1023,RT @BrianPickett: His eyes are too beautiful and they distract the other players https://t.co/ytOt77yA4d,971538301617188864,,Other,,2018-03-08 00:09:16,trevorbnj,1029058328
1025,do you see that GLOW https://t.co/GvqwnUmFi3,971538297460854784,,Boston,,2018-03-08 00:09:15,lani_manso,2591081999
1026,@WO_oDz Right.,971538296726806528,,Boston,,2018-03-08 00:09:14,GodzillasHeart,21542108
103,Meet Kristjan from @50skillsInfo a collaborative recruiting management platform for teams to post and share job ope… https://t.co/94mzBpHnO2,971539333965602816,,Boston,,2018-03-08 00:13:22,utollwi,4807561
